story_id	segment_id	token_index	token_lerch	token_zazaki	morpheme_index	morpheme_surface_lerch	morpheme_normalized	lemma	gloss	pos	features	confidence	evidence	notes
Das Märchen von den drei Brüdern	tb01_l01	0	D̮aíkí	Cayki	0	D̮aíkí	Cayki	daiki	once upon a time			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	1	bī	bi	0	bī	bi	bi	was			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	2	t̮í	çi	0	t̮í	çi	ti	you			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	3	ńébī,	nyêbi	0	ńébī	nyêbi	nebi	was not			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	4	hī́rye	hiryê	0	hī́rye	hiryê	hirye	three			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	5	berá’i	bêrai	0	berá’i	bêrai	berai	brother			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	6	bī,	bi	0	bī	bi	bi	was			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	7	nameí	namêy	0	nameí	namêy	namei	name			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	8	beraí	bêray	0	beraí	bêray	berai	brother			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	9	ki̥d̮i	kıci	0	ki̥d̮i	kıci	kidi	small			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l01	10	Hʿasanék,	'Hasanêk	0	Hʿasanék	'Hasanêk	hasanek	Hasanek			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	0	nameí	namêy	0	nameí	namêy	namei	name			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	1	beraí	bêray	0	beraí	bêray	berai	brother			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	2	myańéni	myanyêni	0	myańéni	myanyêni	myaneni	middle			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	3	Qasím,	Qasim	0	Qasím	Qasim	qasim	Qasim			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	4	nameí	namêy	0	nameí	namêy	namei	name			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	5	beraí	bêray	0	beraí	bêray	berai	brother			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	6	pī́li	pili	0	pī́li	pili	pili	big			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	7	Šabán.	Şaban	0	Šabán	Şaban	saban	Saban			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	8	T̮í	Çi	0	T̮í	Çi	ti	thing			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l02	9	deyíne	dêyinê	0	deyíne	dêyinê	deyine	however			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	0	t̮í	çi	0	t̮í	çi	ti	thing			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	1	né̱be,	nebê	0	né̱	ne	ne-	NEG	prefix	polarity=negative	high	Lerch corpus pattern plus modern Zazaki comparison: ne-/ńe- negative prefix.
Das Märchen von den drei Brüdern	tb01_l03	1	né̱be,	nebê	1	be	bê	be	come/be			high	Lerch corpus pattern plus modern Zazaki comparison: ne-/ńe- negative prefix.
Das Märchen von den drei Brüdern	tb01_l03	2	hī́rye	hiryê	0	hī́rye	hiryê	hirye	three			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	3	vaíšturi	vayşturi	0	vaíšturi	vayşturi	vaisturi	sickles			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	4	χóe	xoê	0	χóe	xoê	xoe	own			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	5	bī.	bi	0	bī	bi	bi	was			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	6	Hʿasanék	'Hasanêk	0	Hʿasanék	'Hasanêk	hasanek	Hasanek			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	7	vā	va	0	vā	va	va	said			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	8	berár	bêrar	0	berár	bêrar	berar	brothers			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	9	yéni:	yêni	0	yéni	yêni	yeni	his			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	10	wárzi,	warzi	0	wárzi	warzi	warzi	get up			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l03	11	mā	ma	0	mā	ma	ma	we			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	0	ḗ̱n’oe	enoê	0	ḗ̱n’oe	enoê	enoe	this			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	1	melmekétra	mêlmêkêtra	0	melmekét	mêlmêkêt	melmeket	country			medium	Contextual ra split; function checked against project ra conventions.
Das Märchen von den drei Brüdern	tb01_l04	1	melmekétra	mêlmêkêtra	1	ra	ra	ra	ABL	postposition	case_or_relation=contextual	medium	Muller 1865, ZGP-0336; project glossing_conventions.tsv keeps ra contextual.
Das Märchen von den drei Brüdern	tb01_l04	2	ve̱d̮í,	veci	0	ve̱d̮í	veci	vedi	leave			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	3	mā	ma	0	mā	ma	ma	we			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	4	šyẹ̄́ri	şyêri	0	šyẹ̄́ri	şyêri	syeri	go			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	5	χóeri	xoêri	0	χóe	xoê	xoe	self/own			high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Das Märchen von den drei Brüdern	tb01_l04	5	χóeri	xoêri	1	ri	ri	ri	REFL/OBL	case/postposition	relation=reflexive_or_oblique	high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Das Märchen von den drei Brüdern	tb01_l04	6	yaū́na	yawna	0	yaū́na	yawna	yauna	another			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	7	aširét,	aşirêt	0	aširét	aşirêt	asiret	tribe			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	8	mā	ma	0	mā	ma	ma	we			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l04	9	χóeri,	xoêri	0	χóe	xoê	xoe	self/own			high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Das Märchen von den drei Brüdern	tb01_l04	9	χóeri,	xoêri	1	ri	ri	ri	REFL/OBL	case/postposition	relation=reflexive_or_oblique	high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Das Märchen von den drei Brüdern	tb01_l05	0	kār	kar	0	kār	kar	kar	work			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l05	1	bi̥kérí,	bıkêri	0	bi̥	bi	bi-	CONJ/FUT	prefix	mood=conjunctive;tense=future	high	Muller 1865, ZGP-0361 conjunctive/future bi- prefix.
Das Märchen von den drei Brüdern	tb01_l05	1	bi̥kérí,	bıkêri	1	kérí	kêri	keri	fight/do			high	Muller 1865, ZGP-0361 conjunctive/future bi- prefix.
Das Märchen von den drei Brüdern	tb01_l05	2	pei	pêy	0	pei	pêy	pei	then			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l05	3	dabā́rai	dabaray	0	dabā́rai	dabaray	dabarai	livelihood			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l05	4	ma	ma	0	ma	ma	ma	we			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l05	5	bo̤bú.	bobu	0	bo̤bú	bobu	bobu	will be			unsplit	Current word-level token gloss; no confident internal split applied.
Das Märchen von den drei Brüdern	tb01_l05	6	Ḗ̱n’ie	Enyê	0	Ḗ̱n’ie	Enyê	enie	these			unsplit	Current word-level token gloss; no confident internal split applied.
