story_id	segment_id	token_index	token_lerch	token_zazaki	morpheme_index	morpheme_surface_lerch	morpheme_normalized	lemma	gloss	pos	features	confidence	evidence	notes
Sage vom Vogel go'in	g01_l01	0	Zemā́ne	Zêmanê	0	Zemā́ne	Zêmanê	zemane	time			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	1	ve̱ríe	veryê	0	ve̱ríe	veryê	verie	first			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	2	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	3	mí̥rdau	mırdaw	0	mí̥rdau	mırdaw	mirdau	man			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	4	d̮éniai	cênyay	0	d̮éniai	cênyay	deniai	woman			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	5	χóe	xoê	0	χóe	xoê	xoe	own			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	6	bī,	bi	0	bī	bi	bi	was			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	7	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	8	keínau	kêynaw	0	keínau	kêynaw	keinau	daughter			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	9	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l01	10	lād̮	lac	0	lād̮	lac	lad	boy			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	0	terá	têra	0	terá	têra	tera	with			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	1	bī.	bi	0	bī	bi	bi	was			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	2	D̮éniai	Cênyay	0	D̮éniai	Cênyay	deniai	woman			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	3	me̱rd,	merd	0	me̱rd	merd	merd	man			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	4	peíni̥de	pêynıdê	0	peíni̥	pêynı	peini	end			high	Muller 1865, ZGP-0340 locative -de/-di.
Sage vom Vogel go'in	g01_l02	4	peíni̥de	pêynıdê	1	de	dê	de	LOC/TEMP	case	case=locative_or_temporal	high	Muller 1865, ZGP-0340 locative -de/-di.
Sage vom Vogel go'in	g01_l02	5	myérde	myêrdê	0	myérde	myêrdê	myerde	husband			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	6	šẹ̄	şê	0	šẹ̄	şê	se	what			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	7	yaúna	yawna	0	yaúna	yawna	yauna	another			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	8	d̮éni	cêni	0	d̮éni	cêni	deni	woman			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	9	ā́rde.	ardê	0	ā́rde	ardê	arde	flour			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g01_l02	10	Di̥	Dı	0	Di̥	Dı	di	two			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	0	sé̱ri	seri	0	sé̱ri	seri	seri	head			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	1	ve̱né̱rt,	venert	0	ve̱né̱rt	venert	venert	stood			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	2	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	3	keína	kêyna	0	keína	kêyna	keina	girl			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	4	áya	aya	0	áya	aya	aya	that			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	5	d̮énira	cênira	0	d̮éni	cêni	deni	woman			medium	Contextual ra split; function checked against project ra conventions.
Sage vom Vogel go'in	g02_l01	5	d̮énira	cênira	1	ra	ra	ra	RECIP	postposition	case_or_relation=contextual	medium	Muller 1865, ZGP-0336; project glossing_conventions.tsv keeps ra contextual.
Sage vom Vogel go'in	g02_l01	6	bī́e.	byê	0	bī́e	byê	bie	became			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	7	Ē̱n’a	Ena	0	Ē̱n’a	Ena	ena	this			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	8	d̮énie	cênyê	0	d̮énie	cênyê	denie	woman			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	9	bíe	byê	0	bíe	byê	bie	became			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l01	10	di̥šmén’i	dışmêni	0	di̥šmén’i	dışmêni	dismeni	enemy			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l02	0	lād̮eḱ	lacêk	0	lād̮eḱ	lacêk	ladek	boy			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l02	1	u	û	0	u	û	u	and			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l02	2	keíneka	kêynêka	0	keíneka	kêynêka	keineka	the girl			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l02	3	ve̱ryén’e.	veryênê	0	ve̱ryén’e	veryênê	veryene	first			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	0	Keíneke	Kêynêkê	0	Keíneke	Kêynêkê	keineke	the girl			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	1	šuén’a	şwêna	0	šuén’a	şwêna	suena	goes			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	2	gōlikā́ṅde;	golikangdê	0	gōlikā́ṅde	golikangdê	golikande	among the cattle			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	3	keínek	kêynêk	0	keínek	kêynêk	keinek	girl			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	4	rṓd̮eki	rocêki	0	rṓd̮eki	rocêki	rodeki	one day			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	5	yé̱rei	yerêy	0	yé̱rei	yerêy	yerei	afternoon			unsplit	Current word-level token gloss; no confident internal split applied.
Sage vom Vogel go'in	g02_l03	6	gōlikā́na	golikana	0	gōlikā́na	golikana	golikana	cattle			unsplit	Current word-level token gloss; no confident internal split applied.
