story_id	segment_id	token_index	token_lerch	token_zazaki	morpheme_index	morpheme_surface_lerch	morpheme_normalized	lemma	gloss	pos	features	confidence	evidence	notes
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l01	0	Kauγé	Kawğê	0	Kauγé	Kawğê	kauge	fight			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l01	1	Ńeríb	Nyêrib	0	Ńeríb	Nyêrib	nerib	Nerib, place name			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l01	2	u	û	0	u	û	u	and			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l01	3	Hʿyẹ̄́ni.	'Hyêni	0	Hʿyẹ̄́ni	'Hyêni	hyeni	Hyeni, place name			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	0	Vé̱ri	Veri	0	Vé̱ri	Veri	veri	first			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	1	d̮ṓan	coan	0	d̮ṓan	coan	doan	once			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	2	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	3	me̱rdṳ́m	merdüm	0	me̱rdṳ́m	merdüm	merdum	man			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	4	Ńeríbra	Nyêribra	0	Ńeríb	Nyêrib	nerib	Nerib			high	Muller 1865, ZGP-0336; function chosen with project ra conventions.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	4	Ńeríbra	Nyêribra	1	ra	ra	ra	ABL	postposition	relation=source	high	Muller 1865, ZGP-0336; function chosen with project ra conventions.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	5	we̱ríšt	werişt	0	we̱ríšt	werişt	werist	set out			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	6	šẹ̄	şê	0	šẹ̄	şê	se	went			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	7	Daúzra	Dawzra	0	Daúz	Dawz	dauz	Dauz			medium	Contextual ra split; function checked against project ra conventions.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	7	Daúzra	Dawzra	1	ra	ra	ra	ABL	postposition	case_or_relation=contextual	medium	Muller 1865, ZGP-0336; project glossing_conventions.tsv keeps ra contextual.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l02	8	ageíra,	agêyra	0	ageíra	agêyra	ageira	set out			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	0	āmé	amê	0	āmé	amê	ame	came			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	1	zi̥meí	zımêy	0	zi̥meí	zımêy	zimei	north			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	2	Hʿyẹ̄́ni.	'Hyêni	0	Hʿyẹ̄́ni	'Hyêni	hyeni	Hyeni, place name			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	3	Yau	Yaw	0	Yau	Yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	4	me̱rdṳ́m	merdüm	0	me̱rdṳ́m	merdüm	merdum	man			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	5	Hʿyẹ̄́neyid̮	'Hyênêyic	0	Hʿyẹ̄́neyid̮	'Hyênêyic	hyeneyid	Hyeni person			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	6	zi̥mé̱d̮e	zımecê	0	zi̥mé̱d̮e	zımecê	zimede	in			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	7	χóeri	xoêri	0	χóe	xoê	xoe	self/own			high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	7	χóeri	xoêri	1	ri	ri	ri	REFL/OBL	case/postposition	relation=reflexive_or_oblique	high	Muller 1865, ZGP-0337-ZGP-0339 ri/ru/-i object or goal material.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	8	d̮it	cit	0	d̮it	cit	dit	plow			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Hʿyẹ̄́ni.	h01_l03	9	kerdíni.	kêrdini	0	kerdíni	kêrdini	kerdini	was doing			unsplit	Current word-level token gloss; no confident internal split applied.
