story_id	segment_id	token_index	token_lerch	token_zazaki	morpheme_index	morpheme_surface_lerch	morpheme_normalized	lemma	gloss	pos	features	confidence	evidence	notes
Kauγé Ńeríb u Sivā́ni.	s01_l01	0	Kauγé	Kawğê	0	Kauγé	Kawğê	kauge	fight			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l01	1	Ńeríb	Nyêrib	0	Ńeríb	Nyêrib	nerib	Nerib, place name			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l01	2	u	û	0	u	û	u	and			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l01	3	Sivā́ni.	Sivani	0	Sivā́ni	Sivani	sivani	Sivan tribe			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	0	Vé̱ri	Veri	0	Vé̱ri	Veri	veri	first			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	1	d̮ṓan	coan	0	d̮ṓan	coan	doan	once			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	2	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	3	lā́d̮eku	lacêku	0	lā́d̮	lac	lad	son/boy			high	Muller 1865, ZGP-0335 genitive/izafet vowels; split kept contextual.
Kauγé Ńeríb u Sivā́ni.	s01_l02	3	lā́d̮eku	lacêku	1	ek	êk	-ek	DIM/one	suffix	nominal=diminutive_or_individualizer	medium	User note on s01_l02; compare modern -êk.
Kauγé Ńeríb u Sivā́ni.	s01_l02	3	lā́d̮eku	lacêku	2	u	û	-u	OBL	case/linker	relation=oblique	medium	Muller 1865, ZGP-0335 genitive/izafet vowels; split kept contextual.
Kauγé Ńeríb u Sivā́ni.	s01_l02	4	Ńerbíd̮	Nyêrbic	0	Ńeríb	Nyêrib	nerib	Nerib			high	User note on s01_l02; place-name base in affiliation form.
Kauγé Ńeríb u Sivā́ni.	s01_l02	4	Ńerbíd̮	Nyêrbic	1	d̮	c	-ic	AFFIL	derivational_suffix	relation=person_from_place	medium	User note on s01_l02: nerb-ic, person from Nerib.
Kauγé Ńeríb u Sivā́ni.	s01_l02	5	šẹ̄	şê	0	šẹ̄	şê	se	went			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	6	Sivā́ṅ,	Sivang	0	Sivā́ṅ	Sivang	sivan	Sivan tribe			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	7	Hʿōrsíge	'Horsigê	0	Hʿōrsíge	'Horsigê	horsige	Horsig place			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	8	di̥zdeíe,	dızdêyê	0	di̥zdeíe	dızdêyê	dizdeie	to steal			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l02	9	bā́ni	bani	0	bā́ni	bani	bani	house			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l03	0	Mél’a	Mêla	0	Mél’a	Mêla	mela	mullah			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l03	1	Ah̔médi	A'hmêdi	0	Ah̔médi	A'hmêdi	ahmedi	Ahmed, personal name			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l03	2	Qafán	Qafan	0	Qafán	Qafan	qafan	Qafan			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l03	3	ākérd,	akêrd	0	ākérd	akêrd	akerd	opened			unsplit	Current word-level token gloss; no confident internal split applied.
Kauγé Ńeríb u Sivā́ni.	s01_l03	4	púrti	purti	0	púrti	purti	purti	fur coat			unsplit	Current word-level token gloss; no confident internal split applied.
