story_id	segment_id	token_index	token_lerch	token_zazaki	morpheme_index	morpheme_surface_lerch	morpheme_normalized	lemma	gloss	pos	features	confidence	evidence	notes
Mährchen von dem Müller und Fuchs	mf01_l01	0	D̮aíki	Cayki	0	D̮aíki	Cayki	daiki	once			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	1	bī	bi	0	bī	bi	bi	to			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	2	t̮i	çi	0	t̮i	çi	ti	you			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	3	ńébī,	nyêbi	0	ńébī	nyêbi	nebi	there was not			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	4	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	5	Aláh	Alah	0	Aláh	Alah	alah	God			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	6	bẹ̄,	bê	0	bẹ̄	bê	be	be			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	7	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	8	ārewāṅt̮í	arêwangçi	0	ārewāṅt̮í	arêwangçi	arewanti	miller			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	9	bẹ̄.	bê	0	bẹ̄	bê	be	be			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	10	Āríš	Ariş	0	Āríš	Ariş	aris	mill			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l01	11	tēh̔-	tê'h	0	tēh̔	tê'h	teh	grinding			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	0	naíni.	nayni	0	naíni	nayni	naini	worked			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	1	Rōd̮	Roc	0	Rōd̮	Roc	rod	day			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	2	yéke	yêkê	0	yéke	yêkê	yeke	one			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	3	bé̱ri	beri	0	bé̱ri	beri	beri	one day			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	4	ārí	ari	0	ārí	ari	ari	mill			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	5	qáfelnā	qafêlna	0	qáfelnā	qafêlna	qafelna	millstone			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	6	šẹ̄	şê	0	šẹ̄	şê	se	went			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	7	keíye,	kêyê	0	keíye	kêyê	keiye	house			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	8	šaú’e	şawê	0	šaú’e	şawê	saue	night			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	9	keíye	kêyê	0	keíye	kêyê	keiye	house			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	10	rā	ra	0	rā	ra	ra	from			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l02	11	kaut,	kawt	0	kaut	kawt	kaut	went			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	0	sebáh	sêbah	0	sebáh	sêbah	sebah	morning			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	1	we̱ríšt,	werişt	0	we̱ríšt	werişt	werist	got up			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	2	āmé̱	ame	0	āmé̱	ame	ame	came			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	3	āréye,	arêyê	0	āréye	arêyê	areye	mill			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	4	auńaíke	awnyaykê	0	auńaíke	awnyaykê	aunaike	saw that			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	5	ā́rdi	ardi	0	ā́rdi	ardi	ardi	brought			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	6	mesáhi̥di	mêsahıdi	0	mesáhi̥di	mêsahıdi	mesahidi	flour-bin			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	7	t̮í̥ńi;	çınyi	0	t̮í̥ńi	çınyi	tini	few			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	8	áya	aya	0	áya	aya	aya	that			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf01_l03	9	šaú’e	şawê	0	šaú’e	şawê	saue	night			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	0	né̱wete	newêtê	0	né̱wete	newêtê	newete	watched			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	1	pa’úte,	pautê	0	pa’úte	pautê	paute	waited			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	2	auńaí	awnyay	0	auńaí	awnyay	aunai	saw			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	3	ke	kê	0	ke	kê	ke	that			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	4	myā́ne	myanê	0	myā́ne	myanê	myane	middle			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	5	šaú’e	şawê	0	šaú’e	şawê	saue	night			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	6	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	7	lú’e	luê	0	lú’e	luê	lue	fox			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	8	āmeí	amêy	0	āmeí	amêy	amei	came			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	9	zé̱re,	zerê	0	zé̱re	zerê	zere	inside			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	10	šíe	şyê	0	šíe	şyê	sie	went			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l01	11	me-	mê	0	me	mê	me	me			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	0	sáhe,	sahê	0	sáhe	sahê	sahe	flour-bin			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	1	ā́rdi	ardi	0	ā́rdi	ardi	ardi	brought			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	2	wé̱rdi.	werdi	0	wé̱rdi	werdi	werdi	took out			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	3	Ārewāṅt̮í	Arêwangçi	0	Ārewāṅt̮í	Arêwangçi	arewanti	miller			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	4	we̱ríšt,	werişt	0	we̱ríšt	werişt	werist	got up			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	5	yau	yaw	0	yau	yaw	yau	one			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	6	t̮úa	çwa	0	t̮úa	çwa	tua				unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	7	geraúte,	gêrawtê	0	geraúte	gêrawtê	geraute	took			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	8	dai	day	0	dai	day	dai	struck			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l02	9	lú’eru;	luêru	0	lú’eru	luêru	lueru	to the fox			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l03	0	e̱rzia	erzya	0	e̱rzia	erzya	erzia	then			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l03	1	lú’e	luê	0	lú’e	luê	lue	fox			unsplit	Current word-level token gloss; no confident internal split applied.
Mährchen von dem Müller und Fuchs	mf02_l03	2	tepíšte,	têpiştê	0	tepíšte	têpiştê	tepiste	caught			unsplit	Current word-level token gloss; no confident internal split applied.
